Status,Group,Channel Name,URL,Reason,LatencyMs
Alive,"BR – 24H","24H BLUE LOCK","http://up.kiwi/351921603109/34939156/1293346","",2376
Alive,"BR – 24H","24H BOCCHI THE ROCK","http://up.kiwi/351921603109/34939156/1293347","",2787
Alive,"BR – 24H","24H BOJACK HORSEMAN","http://up.kiwi/351921603109/34939156/1293331","",3417
Alive,"BR – 24H","24H BOSCH","http://up.kiwi/351921603109/34939156/1293318","",2094
Dead,"BR – 24H","24H BREAKING BAD","http://up.kiwi/351921603109/34939156/1293520","HTTP 503",1832
Dead,"BR – 24H","24H BROOKLYN NINE-NINE","http://up.kiwi/351921603109/34939156/1293415","HTTP 503",2183
Alive,"BR – 24H","24H BUNGO STRAY DOGS","http://up.kiwi/351921603109/34939156/1293349","",3479
Alive,"BR – 24H","24H CAMINHO DAS INDIAS","http://up.kiwi/351921603109/34939156/1293568","",2496
Alive,"BR – 24H","24H CARMEN SANDIEGO","http://up.kiwi/351921603109/34939156/1293465","",2268
Alive,"BR – 24H","24H CARNIVAL ROW","http://up.kiwi/351921603109/34939156/1293550","",2392
Alive,"BR – 24H","24H CASTLEVANIA","http://up.kiwi/351921603109/34939156/1293332","",2120
Alive,"BR – 24H","24H CHAINSAW MAN","http://up.kiwi/351921603109/34939156/1293351","",3784
Dead,"BR – 24H","24H CHANGEMAN","http://up.kiwi/351921603109/34939156/1293596","HTTP 503",2043
Dead,"BR – 24H","24H CHAPOLIN","http://up.kiwi/351921603109/34939156/1293417","No data (insufficient stream data: 39480 bytes)",4025
Alive,"BR – 24H","24H CHAVES","http://up.kiwi/351921603109/34939156/1293418","",3780
Alive,"BR – 24H","24H CHERNOBYL","http://up.kiwi/351921603109/34939156/1293521","",3351
Alive,"BR – 24H","24H CHOCOLATE COM PIMENTA","http://up.kiwi/351921603109/34939156/1293569","",2078
Alive,"BR – 24H","24H COMMUNITY","http://up.kiwi/351921603109/34939156/1293419","",3075
Alive,"BR – 24H","24H COWBOY BEBOP","http://up.kiwi/351921603109/34939156/1293352","",3638
Alive,"BR – 24H","24H CUPHEAD","http://up.kiwi/351921603109/34939156/1293469","",2411
Dead,"BR – 24H","24H CYBERPUNK EDGERUNNERS","http://up.kiwi/351921603109/34939156/1293333","HTTP 503",2236
Alive,"BR – 24H","24H DANNY PHANTOM","http://up.kiwi/351921603109/34939156/1293470","",4081
Alive,"BR – 24H","24H DARK","http://up.kiwi/351921603109/34939156/1293522","",2909
Alive,"BR – 24H","24H DARKWING DUCK","http://up.kiwi/351921603109/34939156/1293471","",2451
Alive,"BR – 24H","24H DEMON SLAYER","http://up.kiwi/351921603109/34939156/1293354","",2496
Alive,"BR – 24H","24H DOPESICK","http://up.kiwi/351921603109/34939156/1293523","",3774
Alive,"BR – 24H","24H DR STONE","http://up.kiwi/351921603109/34939156/1293356","",3190
Alive,"BR – 24H","24H DU DUDU E EDU","http://up.kiwi/351921603109/34939156/1293472","",2151
Alive,"BR – 24H","24H DUCKTALES","http://up.kiwi/351921603109/34939156/1293473","",2327
Alive,"BR – 24H","24H EI ARNOLD","http://up.kiwi/351921603109/34939156/1293474","",2384
Alive,"BR – 24H","24H EU A PATROA E AS CRIANCAS","http://up.kiwi/351921603109/34939156/1293420","",2042
Alive,"BR – 24H","24H EVANGELION","http://up.kiwi/351921603109/34939156/1293360","",2159
Alive,"BR – 24H","24H EVIL","http://up.kiwi/351921603109/34939156/1293589","",3532
Dead,"BR – 24H","24H EXTRAORDINARY ATTORNEY WOO","http://up.kiwi/351921603109/34939156/1293403","HTTP 503",2025
Alive,"BR – 24H","24H FAMILY GUY","http://up.kiwi/351921603109/34939156/1293334","",3215
Alive,"BR – 24H","24H FARGO","http://up.kiwi/351921603109/34939156/1293524","",2824
Alive,"BR – 24H","24H FIRE FORCE","http://up.kiwi/351921603109/34939156/1293361","",3300
Dead,"BR – 24H","24H FLAPJACK","http://up.kiwi/351921603109/34939156/1293475","HTTP 503",2021
Dead,"BR – 24H","24H FLASHMAN","http://up.kiwi/351921603109/34939156/1293597","HTTP 503",2021
Dead,"BR – 24H","24H FOR ALL MANKIND","http://up.kiwi/351921603109/34939156/1293551","HTTP 503",1984
Dead,"BR – 24H","24H FOUNDATION","http://up.kiwi/351921603109/34939156/1293552","HTTP 503",1972
Dead,"BR – 24H","24H FRASIER","http://up.kiwi/351921603109/34939156/1293421","HTTP 503",1961
Alive,"BR – 24H","24H FREAKAZOID","http://up.kiwi/351921603109/34939156/1293476","",1941
Alive,"BR – 24H","24H FRIENDS","http://up.kiwi/351921603109/34939156/1293422","",2168
Alive,"BR – 24H","24H FRIEREN","http://up.kiwi/351921603109/34939156/1293362","",2169
Dead,"BR – 24H","24H FUTURAMA","http://up.kiwi/351921603109/34939156/1293335","HTTP 503",2115
Alive,"BR – 24H","24H GAME OF THRONES","http://up.kiwi/351921603109/34939156/1293525","",3276
Alive,"BR – 24H","24H GANGS OF LONDON","http://up.kiwi/351921603109/34939156/1293319","",3677
Alive,"BR – 24H","24H GHOSTS","http://up.kiwi/351921603109/34939156/1293423","",3436
Alive,"BR – 24H","24H GINTAMA","http://up.kiwi/351921603109/34939156/1293364","",3394
Alive,"BR – 24H","24H GRAVITY FALLS","http://up.kiwi/351921603109/34939156/1293478","",2387
Alive,"BR – 24H","24H GYEONGSEONG CREATURE","http://up.kiwi/351921603109/34939156/1293404","",2079
Alive,"BR – 24H","24H HACKS","http://up.kiwi/351921603109/34939156/1293424","",2285
Alive,"BR – 24H","24H HAIKYUU","http://up.kiwi/351921603109/34939156/1293365","",2343
Alive,"BR – 24H","24H HAJIME NO IPPO","http://up.kiwi/351921603109/34939156/1293366","",2154
Alive,"BR – 24H","24H HANNIBAL","http://up.kiwi/351921603109/34939156/1293590","",2810
Alive,"BR – 24H","24H HEAVENLY DELUSION","http://up.kiwi/351921603109/34939156/1293367","",2132
Alive,"BR – 24H","24H HORIMIYA","http://up.kiwi/351921603109/34939156/1293368","",3525
Alive,"BR – 24H","24H HOUSE OF THE DRAGON","http://up.kiwi/351921603109/34939156/1293526","",3819
Alive,"BR – 24H","24H INTERVIEW WITH THE VAMPIRE","http://up.kiwi/351921603109/34939156/1293591","",3275
Alive,"BR – 24H","24H INVASOR ZIM","http://up.kiwi/351921603109/34939156/1293481","",2241
Alive,"BR – 24H","24H INVINCIBLE","http://up.kiwi/351921603109/34939156/1293336","",2339
Dead,"BR – 24H","24H IRMAOS A OBRA","http://up.kiwi/351921603109/34939156/1293581","HTTP 503",2093
Alive,"BR – 24H","24H JACK RYAN","http://up.kiwi/351921603109/34939156/1293320","",3055
Alive,"BR – 24H","24H JOVENS TITAS EM ACAO","http://up.kiwi/351921603109/34939156/1293482","",3430
Dead,"BR – 24H","24H JUJUTSU KAISEN","http://up.kiwi/351921603109/34939156/1293372","HTTP 503",1914
Alive,"BR – 24H","24H KAIJU NO 8","http://up.kiwi/351921603109/34939156/1293373","",2501
Alive,"BR – 24H","24H KINGDOM","http://up.kiwi/351921603109/34939156/1293405","",2060
Alive,"BR – 24H","24H KIPO","http://up.kiwi/351921603109/34939156/1293484","",2728
Alive,"BR – 24H","24H KND A TURMA DO BAIRRO","http://up.kiwi/351921603109/34939156/1293485","",2709
Alive,"BR – 24H","24H KONOSUBA","http://up.kiwi/351921603109/34939156/1293374","",2130
Dead,"BR – 24H","24H LABORATORIO DE DEXTER","http://up.kiwi/351921603109/34939156/1293486","HTTP 503",2505
Alive,"BR – 24H","24H LACOS DE FAMILIA","http://up.kiwi/351921603109/34939156/1293570","",2157
Alive,"BR – 24H","24H LARGADOS E PELADOS","http://up.kiwi/351921603109/34939156/1293582","",3485
Dead,"BR – 24H","24H LILO E STITCH","http://up.kiwi/351921603109/34939156/1293489","HTTP 503",1934
Alive,"BR – 24H","24H LOONEY TUNES","http://up.kiwi/351921603109/34939156/1293490","",2466
Alive,"BR – 24H","24H LOST IN SPACE","http://up.kiwi/351921603109/34939156/1293553","",2827
Alive,"BR – 24H","24H LOVE DEATH E ROBOTS","http://up.kiwi/351921603109/34939156/1293337","",3657
Alive,"BR – 24H","24H MAGI","http://up.kiwi/351921603109/34939156/1293375","",2737
Alive,"BR – 24H","24H MAID","http://up.kiwi/351921603109/34939156/1293527","",2569
Alive,"BR – 24H","24H MALCOLM IN THE MIDDLE","http://up.kiwi/351921603109/34939156/1293426","",3143
Alive,"BR – 24H","24H MANDA-CHUVA","http://up.kiwi/351921603109/34939156/1293491","",3211
Dead,"BR – 24H","24H MARE OF EASTTOWN","http://up.kiwi/351921603109/34939156/1293528","HTTP 503",1809
Alive,"BR – 24H","24H MASTERCHEF BRASIL","http://up.kiwi/351921603109/34939156/1293583","",2651
Dead,"BR – 24H","24H MAYOR OF KINGSTOWN","http://up.kiwi/351921603109/34939156/1293321","HTTP 503",1579
Alive,"BR – 24H","24H MIDNIGHT MASS","http://up.kiwi/351921603109/34939156/1293592","",2410
Alive,"BR – 24H","24H MINDHUNTER","http://up.kiwi/351921603109/34939156/1293529","",2989
Dead,"BR – 24H","24H MOB PSYCHO 100","http://up.kiwi/351921603109/34939156/1293376","No data (insufficient stream data: 450824 bytes)",4004
Dead,"BR – 24H","24H MODERN FAMILY","http://up.kiwi/351921603109/34939156/1293427","HTTP 503",1937
Dead,"BR – 24H","24H MOVING","http://up.kiwi/351921603109/34939156/1293406","HTTP 503",1676
Alive,"BR – 24H","24H MR BEAN","http://up.kiwi/351921603109/34939156/1293428","",3760
Alive,"BR – 24H","24H MULHERES APAIXONADAS","http://up.kiwi/351921603109/34939156/1293571","",3605
Alive,"BR – 24H","24H MUSHOKU TENSEI","http://up.kiwi/351921603109/34939156/1293377","",2049
Dead,"BR – 24H","24H MY DRESS-UP DARLING","http://up.kiwi/351921603109/34939156/1293378","HTTP 503",1697
Alive,"BR – 24H","24H MY HERO ACADEMIA","http://up.kiwi/351921603109/34939156/1293379","",2233
Alive,"BR – 24H","24H NARCOS","http://up.kiwi/351921603109/34939156/1293322","",2707
Alive,"BR – 24H","24H NARCOS MEXICO","http://up.kiwi/351921603109/34939156/1293323","",2146
Alive,"BR – 24H","24H NEW GIRL","http://up.kiwi/351921603109/34939156/1293429","",2179
Alive,"BR – 24H","24H O CLONE","http://up.kiwi/351921603109/34939156/1293572","",2247
Alive,"BR – 24H","24H ONE PUNCH MAN","http://up.kiwi/351921603109/34939156/1293382","",2424
Alive,"BR – 24H","24H ONLY MURDERS IN THE BUILDING","http://up.kiwi/351921603109/34939156/1293430","",2790
Alive,"BR – 24H","24H OS NORMAIS","http://up.kiwi/351921603109/34939156/1293431","",2734
Alive,"BR – 24H","24H OS SIMPSONS","http://up.kiwi/351921603109/34939156/1293338","",3372
Dead,"BR – 24H","24H OS TRAPALHOES","http://up.kiwi/351921603109/34939156/1293432","HTTP 503",1651
Dead,"BR – 24H","24H OVERLORD","http://up.kiwi/351921603109/34939156/1293383","HTTP 503",1656
Alive,"BR – 24H","24H OZARK","http://up.kiwi/351921603109/34939156/1293530","",2173
Alive,"BR – 24H","24H PANTANAL","http://up.kiwi/351921603109/34939156/1293573","",2206
Alive,"BR – 24H","24H PANTHEON","http://up.kiwi/351921603109/34939156/1293339","",2216
Alive,"BR – 24H","24H PARASYTE","http://up.kiwi/351921603109/34939156/1293384","",2587
Alive,"BR – 24H","24H PEAKY BLINDERS","http://up.kiwi/351921603109/34939156/1293324","",2263
Dead,"BR – 24H","24H PERCY JACKSON","http://up.kiwi/351921603109/34939156/1293554","HTTP 503",1332
Alive,"BR – 24H","24H PESADELO NA COZINHA","http://up.kiwi/351921603109/34939156/1293584","",2260
Alive,"BR – 24H","24H PESCA MORTAL","http://up.kiwi/351921603109/34939156/1293585","",3236
Dead,"BR – 24H","24H PHINEAS E FERB","http://up.kiwi/351921603109/34939156/1293499","HTTP 503",1530
Alive,"BR – 24H","24H PRESUMED INNOCENT","http://up.kiwi/351921603109/34939156/1293531","",2229
Alive,"BR – 24H","24H QUILOS MORTAIS","http://up.kiwi/351921603109/34939156/1293586","",2377
Dead,"BR – 24H","24H RAINHA DA SUCATA","http://up.kiwi/351921603109/34939156/1293574","HTTP 503",3458
Alive,"BR – 24H","24H REACHER","http://up.kiwi/351921603109/34939156/1293325","",2608
Alive,"BR – 24H","24H RICK AND MORTY THE ANIME","http://up.kiwi/351921603109/34939156/1293340","",2945
Alive,"BR – 24H","24H RINGS OF POWER","http://up.kiwi/351921603109/34939156/1293555","",2191
Alive,"BR – 24H","24H RIPLEY","http://up.kiwi/351921603109/34939156/1293532","",2701
Alive,"BR – 24H","24H ROQUE SANTEIRO","http://up.kiwi/351921603109/34939156/1293575","",2094
Dead,"BR – 24H","24H RUGRATS 2021","http://up.kiwi/351921603109/34939156/1293504","HTTP 503",1626
Alive,"BR – 24H","24H SAI DE BAIXO","http://up.kiwi/351921603109/34939156/1293433","",2602
Alive,"BR – 24H","24H SAIKI K","http://up.kiwi/351921603109/34939156/1293387","",3533
Alive,"BR – 24H","24H SAMURAI X","http://up.kiwi/351921603109/34939156/1293388","",2361
Alive,"BR – 24H","24H SANDMAN","http://up.kiwi/351921603109/34939156/1293556","",3487
Alive,"BR – 24H","24H SCRUBS","http://up.kiwi/351921603109/34939156/1293434","",2257
Dead,"BR – 24H","24H SEINFELD","http://up.kiwi/351921603109/34939156/1293435","HTTP 503",3426
Alive,"BR – 24H","24H SENHORA DO DESTINO","http://up.kiwi/351921603109/34939156/1293576","",2883
Dead,"BR – 24H","24H SEVERANCE","http://up.kiwi/351921603109/34939156/1293533","HTTP 503",2536
Dead,"BR – 24H","24H SHADOW AND BONE","http://up.kiwi/351921603109/34939156/1293557","No data (insufficient stream data: 169200 bytes)",3854
Alive,"BR – 24H","24H SHAMAN KING","http://up.kiwi/351921603109/34939156/1293389","",2274
Dead,"BR – 24H","24H SHARK TANK BRASIL","http://up.kiwi/351921603109/34939156/1293587","HTTP 503",2448
Alive,"BR – 24H","24H SIGNAL","http://up.kiwi/351921603109/34939156/1293407","",2146
Alive,"BR – 24H","24H SILICON VALLEY","http://up.kiwi/351921603109/34939156/1293436","",2601
Dead,"BR – 24H","24H SILO","http://up.kiwi/351921603109/34939156/1293534","HTTP 503",3134
Alive,"BR – 24H","24H SLAM DUNK","http://up.kiwi/351921603109/34939156/1293390","",4344
Alive,"BR – 24H","24H SOLO LEVELING","http://up.kiwi/351921603109/34939156/1293391","",4515
Alive,"BR – 24H","24H SOUL EATER","http://up.kiwi/351921603109/34939156/1293392","",2864
Alive,"BR – 24H","24H SOUTH PARK","http://up.kiwi/351921603109/34939156/1293341","",13328
Alive,"BR – 24H","24H SPACE GHOST DE COSTA A COSTA","http://up.kiwi/351921603109/34939156/1293508","",2330
Alive,"BR – 24H","24H SPY X FAMILY","http://up.kiwi/351921603109/34939156/1293393","",2230
Alive,"BR – 24H","24H SQUID GAME","http://up.kiwi/351921603109/34939156/1293408","",2392
Alive,"BR – 24H","24H STAR VS AS FORCAS DO MAL","http://up.kiwi/351921603109/34939156/1293509","",4323
Alive,"BR – 24H","24H STRANGER THINGS","http://up.kiwi/351921603109/34939156/1293558","",4736
Alive,"BR – 24H","24H SUCCESSION","http://up.kiwi/351921603109/34939156/1293535","",2260
Alive,"BR – 24H","24H SUPER CAMPEOES","http://up.kiwi/351921603109/34939156/1293394","",2390
Alive,"BR – 24H","24H SUPERMAN A SERIE ANIMADA","http://up.kiwi/351921603109/34939156/1293510","",3650
Alive,"BR – 24H","24H SUPERSTORE","http://up.kiwi/351921603109/34939156/1293437","",2369
Alive,"BR – 24H","24H SWORD ART ONLINE","http://up.kiwi/351921603109/34939156/1293395","",4969
Alive,"BR – 24H","24H TENSEI SLIME","http://up.kiwi/351921603109/34939156/1293396","",2354
Alive,"BR – 24H","24H THE BIG BANG THEORY","http://up.kiwi/351921603109/34939156/1293439","",2202
Alive,"BR – 24H","24H THE EXPANSE","http://up.kiwi/351921603109/34939156/1293559","",3654
Dead,"BR – 24H","24H THE FALL OF THE HOUSE OF USHER","http://up.kiwi/351921603109/34939156/1293593","HTTP 503",2480
Dead,"BR – 24H","24H THE GOOD PLACE","http://up.kiwi/351921603109/34939156/1293440","HTTP 503",2409
Dead,"BR – 24H","24H THE HAUNTING OF HILL HOUSE","http://up.kiwi/351921603109/34939156/1293594","No data (insufficient stream data: 39480 bytes)",4012
Alive,"BR – 24H","24H THE LAST OF US","http://up.kiwi/351921603109/34939156/1293536","",2224
Alive,"BR – 24H","24H THE NANNY","http://up.kiwi/351921603109/34939156/1293441","",4660
Alive,"BR – 24H","24H THE NIGHT OF","http://up.kiwi/351921603109/34939156/1293537","",2176
Alive,"BR – 24H","24H THE PENGUIN","http://up.kiwi/351921603109/34939156/1293538","",2350
Dead,"BR – 24H","24H THE PERIPHERAL","http://up.kiwi/351921603109/34939156/1293560","HTTP 503",2875
Alive,"BR – 24H","24H THE QUEENS GAMBIT","http://up.kiwi/351921603109/34939156/1293539","",3001
Alive,"BR – 24H","24H THE SOPRANOS","http://up.kiwi/351921603109/34939156/1293540","",4534
Alive,"BR – 24H","24H THE WIRE","http://up.kiwi/351921603109/34939156/1293541","",4188
Alive,"BR – 24H","24H THE WITCHER","http://up.kiwi/351921603109/34939156/1293561","",4409
Alive,"BR – 24H","24H TIMAO E PUMBA","http://up.kiwi/351921603109/34939156/1293513","",3541
Alive,"BR – 24H","24H TINY TOONS LOONIVERSIDADE","http://up.kiwi/351921603109/34939156/1293514","",3722
Alive,"BR – 24H","24H TODO MUNDO ODEIA O CHRIS","http://up.kiwi/351921603109/34939156/1293443","",3944
Alive,"BR – 24H","24H TOKYO REVENGERS","http://up.kiwi/351921603109/34939156/1293397","",4832
Alive,"BR – 24H","24H TOMA LA DA CA","http://up.kiwi/351921603109/34939156/1293444","",2533
Alive,"BR – 24H","24H TORADORA","http://up.kiwi/351921603109/34939156/1293398","",2515
Alive,"BR – 24H","24H TRES E DEMAIS","http://up.kiwi/351921603109/34939156/1293445","",4107
Alive,"BR – 24H","24H UM MALUCO NO PEDACO","http://up.kiwi/351921603109/34939156/1293447","",4186
Alive,"BR – 24H","24H UNBELIEVABLE","http://up.kiwi/351921603109/34939156/1293543","",3586
Alive,"BR – 24H","24H VALE TUDO","http://up.kiwi/351921603109/34939156/1293578","",2679
Dead,"BR – 24H","24H VINLAND SAGA","http://up.kiwi/351921603109/34939156/1293399","No data (insufficient stream data: 507976 bytes)",5284
Alive,"BR – 24H","24H VIVY","http://up.kiwi/351921603109/34939156/1293400","",3185
Alive,"BR – 24H","24H WARRIOR","http://up.kiwi/351921603109/34939156/1293326","",2985
Alive,"BR – 24H","24H WEAK HERO CLASS 1","http://up.kiwi/351921603109/34939156/1293410","",3417
Dead,"BR – 24H","24H WEDNESDAY","http://up.kiwi/351921603109/34939156/1293562","No data (insufficient stream data: 73320 bytes)",3895
Alive,"BR – 24H","24H WESTWORLD","http://up.kiwi/351921603109/34939156/1293563","",2146
Dead,"BR – 24H","24H WHEN THEY SEE US","http://up.kiwi/351921603109/34939156/1293544","HTTP 503",1757
Alive,"BR – 24H","24H WINSPECTOR","http://up.kiwi/351921603109/34939156/1293602","",2245
Alive,"BR – 24H","24H X-MEN","http://up.kiwi/351921603109/34939156/1293342","",2275
Alive,"BR – 24H","24H YOUNG SHELDON","http://up.kiwi/351921603109/34939156/1293448","",3598
Alive,"BR – 24H","24H YU YU HAKUSHO","http://up.kiwi/351921603109/34939156/1293401","",2251
Alive,"BR – 24H","24H ZE COLMEIA","http://up.kiwi/351921603109/34939156/1293516","",2211
Alive,"BR – 24H","24H | CHAVES","http://up.kiwi/351921603109/34939156/1257451","",3996
Alive,"BR – 24H","24H | SIMPSONS","http://up.kiwi/351921603109/34939156/1257452","",2731
Dead,"BR – 24H","[24H] 3 PALAVRINHAS","http://tjtor8411.com:80/Osiel123/Felicidade321/138711.ts","No data (insufficient stream data: 235 bytes)",546
Dead,"BR – 24H","[24H] 44 GATOS","http://tjtor8411.com:80/Osiel123/Felicidade321/137410.ts","No data (insufficient stream data: 235 bytes)",307
Dead,"BR – 24H","[24H] [CANAL YOUTUBE] 4 AMIGOS STAND UP COMEDY","http://tjtor8411.com:80/Osiel123/Felicidade321/138721.ts","No data (insufficient stream data: 235 bytes)",522
Dead,"BR – 24H","[24H] [CANAL YOUTUBE] 5 ALGUMA COISA","http://tjtor8411.com:80/Osiel123/Felicidade321/138729.ts","No data (insufficient stream data: 235 bytes)",525
Dead,"BR – 24H","[24H] [CANAL YOUTUBE] FRITADA","http://tjtor8411.com:80/Osiel123/Felicidade321/255220.ts","No data (insufficient stream data: 235 bytes)",418
